Quote No.;Status;Status Reason;Quote Date;CRM-Status;Customer No.;ZIP;Date for Follow-Up;Followed up on;Person in Charge; Value of Quotation ;Probability (%);Order No.;Responsible;Representative;Customer Ref.;Prod. Category (Text);Prod. Master Class (Text);Scoring Automation;Scoring Tool- & Workholding
1027592;2) Quote is ready;Quotation is ready;23.02.2026;4) Buying customer;51933;113 60;26.02.2026;;0; 8 900 kr ;100%;;Sales representative;104;Offertförfrågan;3 - Automation Standard;3GP - Gripping Modules pneumatic;4 - Casual customer;4 - Casual customer
1027593;4) Order received;Order is entered;23.02.2026;4) Buying customer;51127;163 53;;;1; 6 489 kr ;100%;116925;Sales representative;103;Offert;4 - Stationary Workholding;401 - Clamping systems Std.;4 - Casual customer;2 - Prospect customer
1027594;4) Order received;Order is entered;23.02.2026;4) Buying customer;3640;695 32;;;1; 78 900 kr ;100%;116930;Sales representative;103;Rota TP 250;8 - Lathe Chucks;8XS - Power Chucks Standard;4 - Casual customer;4 - Casual customer
1027596;4) Order received;Order is entered;23.02.2026;4) Buying customer;1020;151 38;;;1; 5 751 kr ;100%;116928;Sales representative;106;IR1778433;3 - Automation Standard;3SO - Service Automation Components;1 - Top customer;1 - Top customer
1027597;2) Quote is ready;Quotation is ready;23.02.2026;4) Buying customer;1167;524 42;26.02.2026;;1; 27 511 kr ;100%;;Sales representative;109;GN-plus-P 100-1;3 - Automation Standard;3GP - Gripping Modules pneumatic;4 - Casual customer;2 - Prospect customer
1027598;2) Quote is ready;Quotation is ready;23.02.2026;4) Buying customer;1020;151 38;26.02.2026;;2; 14 051 kr ;100%;;Sales representative;106;IR1779711;3 - Automation Standard;3SO - Service Automation Components;1 - Top customer;1 - Top customer
1027601;2) Quote is ready;Quotation is ready;23.02.2026;4) Buying customer;1996;335 31;26.02.2026;;2; 35 kr ;100%;;Sales representative;105;Offert;3 - Automation Standard;3ZO - Accessories Automation;4 - Casual customer;2 - Prospect customer
1027602;2) Quote is ready;Quotation is ready;23.02.2026;5) Lost customer;1966;461 32;26.02.2026;;1; 37 040 kr ;100%;;Sales representative;109;JGZ 125-1;3 - Automation Standard;3GP - Gripping Modules pneumatic;4 - Casual customer;4 - Casual customer
1027603;2) Quote is ready;Quotation is ready;23.02.2026;4) Buying customer;3522;572 35;26.02.2026;;1; 711 kr ;100%;;Sales representative;106;Offert;3 - Automation Standard;3MS;4 - Casual customer;4 - Casual customer
1027600;2) Quote is ready;Quotation is ready;23.02.2026;4) Buying customer;51658;821 91;26.02.2026;;3; 20 933 kr ;100%;;Sales representative;103;Offert;1 - Chuck Jaws;1XS - Jaws Special;4 - Casual customer;4 - Casual customer
1027604;2) Quote is ready;Quotation is ready;23.02.2026;4) Buying customer;52200;182 32;26.02.2026;;1; 2 657 kr ;100%;;Sales representative;104;FGA11 SI-55;3 - Automation Standard;3MS;4 - Casual customer;4 - Casual customer
1027521;2) Quote is ready;Quotation is ready;20.02.2026;4) Buying customer;2447;342 32;19.02.2026;;3; 1 568 kr ;50%;;Sales representative;105;Offert;3 - Automation Standard;3MS;4 - Casual customer;4 - Casual customer
